ID,title,author,date,validity
26390,The Two Great Retreats of History,"Grote, George",1889,TRUE
22523,"The History of the American Expedition Fighting the Bolsheviki
Campaigning in North Russia 1918-1919","Mead, Harry H.",1920,TRUE
25625,"Historic Tales: The Romance of Reality. Vol. 08 (of 15), Russian","Morris, Charles",1898,TRUE
55244,The Prophet's Mantle,"Bland, Hubert",1889,TRUE
46587,The Russian Opera,"Newmarch, Rosa",1914,TRUE
54507,Russian Memories,"Novikova, Olga Alekseevna",1916,TRUE
54059,"Northern Lands; Or, Young America in Russia and Prussia","Optic, Oliver",1872,TRUE
31554,"Lectures on Russian Literature: Pushkin, Gogol, Turgenef, Tolstoy","Panin, Ivan",1889,TRUE
16930,A Short History of Russia,"Parmele, Mary Platt",1910,TRUE
60258,"New lands within the Arctic circle
Narrative of the discoveries of the Austrian ship ""Tegetthoff"" in the years 1872-1874","Payer, Julius",1876,TRUE
46023,The Garden of Swords,"Pemberton, Max",1899,TRUE
35540,The Great White Army,"Pemberton, Max",1916,TRUE
5996,Essays on Russian Novelists,"Phelps, William Lyon",1911,TRUE
24981,Trapped in 'Black Russia': Letters June-November 1915,"Pierce, Ruth",1918,TRUE
22004,The Genius,"Potter, Margaret Horton",1906,TRUE
53108,Confessions of the Czarina,"Radziwill, Catherine, Princess",1918,TRUE
16981,Old Peter's Russian Tales,"Ransome, Arthur",1917,TRUE
49278,"The Soldier and Death
A Russian Folk Tale Told in English by Arthur Ransome","Ransome, Arthur",1920,TRUE
27733,Through Siberia and Manchuria By Rail,"Ready, Oliver George",1904,TRUE
7320,Afghanistan and the Anglo-Russian Dispute,"Rodenbough, Theophilus F. (Theophilus Francis)",1885,TRUE
7973,"Napoleon's Campaign in Russia, Anno 1812; Medico-Historical","Rose, Achilles",1913,TRUE
18643,"The First Landing on Wrangel Island
With Some Remarks on the Northern Inhabitants","Rosse, Irving C. (Irving Collins)",1883,TRUE
45099,The Rise of the Russian Empire,Saki,1900,TRUE
37723,For Sceptre and Crown: A Romance of the Present Time. Vol. 1 (of 2),"Samarow, Gregor",1875,TRUE
37724,For Sceptre and Crown: A Romance of the Present Time. Vol. 2 (of 2),"Samarow, Gregor",1875,TRUE
3488,Great Catherine (Whom Glory Still Adores),"Shaw, Bernard",1913,TRUE
19534,"Russia, as Seen and Described by Famous Writers","Shaw, Bernard",1904,TRUE
57750,"The Heart of Asia
A history of Russian Turkestan and the Central Asian Khanates from the earliest times","Ross, E. Denison (Edward Denison), Sir",1899,TRUE
51594,"""The Greatest Failure in All History""
A Critical Examination of the Actual Workings of Bolshevism in Russia","Spargo, John",1920,TRUE
37889,"Incidents of Travel in Greece, Turkey, Russia, and Poland, Vol. 1 (of 2)","Stephens, John L.",1853,TRUE
37947,"Incidents of Travel in Greece, Turkey, Russia, and Poland, Vol. 2 (of 2)","Stephens, John L.",1853,TRUE
45299,The Russian Ballet,"Terry, Ellen",1913,TRUE
