title,ID,year,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
In Search of a Siberian Klondike,27733,1903,0.10045469855170092,0.6649545301448299,0.0054732233075109465,0.03646008757157292,0.010862243179521724,0.05599528460761199,0.010525429437521052,0.11527450319973055
Our Little Russian Cousin,28295,1901,0.03361780188227788,0.04257343390378962,0.0015780598409406831,0.0019198778570289178,0.6076669781008591,0.023955745960850445,0.018919627190483786,0.26976847526376957
The Red Symbol,31860,1910,0.054680135738075786,0.039409602212027904,0.0028985734933702004,0.0031499403003833345,0.08672940363225036,0.013518821089675108,0.006606233896813926,0.7930072896374034
"Tent Life in Siberia
A New Account of an Old Undertaking; Adventures among the Koraks and Other Tribes In Kamchatka and Northern Asia",33005,1910,0.24403569265178696,0.02932062811611761,0.5045547737756861,0.04409160803317646,0.03211639718559247,0.004717860304738829,0.023962070732957457,0.11720096919994409
"The Price of Power
Being Chapters from the Secret History of the Imperial Court of Russia",33303,1913,0.480838282005248,0.12126547898540718,0.029473369239976066,0.04807116880725499,0.011151774616765642,0.004108548543018921,0.03080835980297381,0.27428301799935556
The Haskalah Movement in Russia,35540,1913,0.013699846135637354,0.05386239002643311,0.0008383635144198525,0.037292381741428966,0.35594942202233004,0.09939046040951592,0.001035625517812759,0.43793151063242197
One Year at the Russian Court: 1904-1905,39166,1918,0.07501995630619275,0.03985484413074532,0.16608373245945718,0.0027151079741198217,0.03664082850180657,0.0028831610789009326,0.04105222250231073,0.6357501470464667
The Romance of the Romanoffs,41091,1917,0.1231176452324029,0.05558574222995001,0.0010634334150960972,0.009570900735864874,0.01932033408886267,0.0024916943521594683,0.0036405129319713107,0.7852097370136927
Peter and Alexis: The Romance of Peter the Great,41237,1905,0.0569382294597961,0.7223900908797343,0.001995202288139503,0.0024565207362642434,0.016342206024818933,0.012190339991696268,0.00333302578770125,0.18435438483184943
Barlasch of the Guard,42132,1903,0.060922848212243655,0.5242909964168636,0.014265838225203933,0.11707135777998018,0.03690821071891438,0.00793817183807273,0.02692117099946634,0.21168140580925515
The Isle of Unrest,42967,1900,0.14417140927944438,0.002809395196295939,0.0023270955917816145,0.04095929391337899,0.32141651393845855,0.053981383235265745,0.0025200154335873444,0.4318148934117874
"The History of the American Expedition Fighting the Bolsheviki
Campaigning in North Russia 1918-1919",45098,1920,0.06942957036663729,0.10795168199571628,0.0029056948469194915,0.3061058964344211,0.07963493763386671,0.03550617361723574,0.001299294443744488,0.39716675066145907
The Russian Opera,45099,1914,0.18552782293822054,0.03809950487732782,0.0027019287614543307,0.6441074859592079,0.019440031037540648,0.013934562518474728,0.009112658882648539,0.08707600502512564
Russian Memories,45299,1916,0.172808547754034,0.02583951155691234,0.4745965983427824,0.024967291757522894,0.05113388573920628,0.009703445268207588,0.010575665067597034,0.23037505451373747
Red Dusk and the Morrow: Adventures and Investigations in Red Russia,45845,1922,0.0356875374475734,0.48850359496704615,0.03988166566806471,0.05486069502696225,0.09275763930497304,0.008575494307968844,0.0028834631515877772,0.27684991012582383
My Disillusionment in Russia,46019,1921,0.09226041144004014,0.27131567629560605,0.015635079922586195,0.48638986452584043,0.03301734642677944,0.003198695434019067,0.0029119776360117555,0.09527094831911691
A Short History of Russia,46510,1910,0.15010026319087605,0.08074320090236872,0.00943100639177842,0.6236683794961775,0.014895350294523123,0.013942849981200652,0.0026883068053640807,0.1045306429377115
The Great White Army,46587,1916,0.2203056334880949,0.020315564714353102,0.5722186359460734,0.06013978200958362,0.00924224743650222,0.00459939916081138,0.0038545571914492135,0.10932418005313203
Essays on Russian Novelists,49278,1911,0.010623620309050773,0.04539183222958058,0.009519867549668874,0.02055739514348786,0.7760761589403974,0.011175496688741722,0.006208609271523178,0.12044701986754967
Trapped in 'Black Russia': Letters June-November 1915,51410,1918,0.16260805632296588,0.0541506995811425,0.014537474378397646,0.01146288209606987,0.022602709205953125,0.23590811870599768,0.03726272168255949,0.4614673380269138
The Genius,51594,1906,0.10907417245232556,0.010482881166535382,0.003411859532140175,0.0026424737584495044,0.0013601641356317208,0.006599314880287237,0.8310877649343275,0.03534136914030299
Confessions of the Czarina,51993,1918,0.1410186794092094,0.05001086012163336,0.6049630755864466,0.04979365768896612,0.0085251954821894,0.012652041702867073,0.06521503040834058,0.06782145960034752
Old Peter's Russian Tales,53108,1917,0.5583329964015687,0.001303925928920875,0.0014252213641693283,0.040239760643674446,0.003365948328144584,0.005023652609873449,0.013029151336271378,0.3772793433873772
"The Soldier and Death
A Russian Folk Tale Told in English by Arthur Ransome",54507,1920,0.5481350564601262,0.010532292632993188,0.039801989699625735,0.024959214356546498,0.011108089952336779,0.014690828828252457,0.04818303957007134,0.302589488500048
Through Siberia and Manchuria By Rail,56611,1904,0.3522430947618927,0.016487759183776804,0.0032216005468492875,0.37697789817463734,0.017576394339097193,0.004917846021418264,0.05398237930074179,0.17459302767158663
"Napoleon's Campaign in Russia, Anno 1812; Medico-Historical",57185,1913,0.09501474720326707,0.008887589661250632,0.0010689540829682891,0.018870311872807553,0.0026047575001308925,0.8278547618632088,0.005571650465104103,0.04012722735126267
The Rise of the Russian Empire,57804,1900,0.0969342055263015,0.1001370718202052,0.007823950925574074,0.006276803648010423,0.05638266109331741,0.010158243309266598,0.3266720047771565,0.3956150589001683
Great Catherine (Whom Glory Still Adores),58932,1913,0.0547936829600643,0.4564917368365886,0.012796547989238674,0.023418119562558962,0.12977359281646347,0.0017557038538136337,0.0066122776981936355,0.3143583382830789
"Russia, as Seen and Described by Famous Writers",59095,1904,0.3028089606094016,0.10485366342587953,0.011288463465971735,0.07227874110454044,0.0807482209080886,0.018905983762654104,0.024117971334068358,0.3849979953893956
"""The Greatest Failure in All History""
A Critical Examination of the Actual Workings of Bolshevism in Russia",60173,1920,0.23033431661750245,0.09835573036163006,0.032803452419971596,0.010515677919807714,0.005490003277613897,0.0063640336501693436,0.377062165410248,0.23907462034305693
The Russian Ballet,60315,1913,0.11247712166457952,0.038206820152201136,0.025298622483383104,0.01364271264810712,0.002034967729505828,0.012197765147866295,0.4932207879780368,0.3029212021963202
The Practice and Theory of Bolshevism,60432,1920,0.3656833245232384,0.010907575326312367,0.003263123653072013,0.013265969991460987,0.07543813280201685,0.008711828569105032,0.008467856707193105,0.5142621884276014
"Annajanska, the Bolshevik Empress",60770,1917,0.4492073853039912,0.05151995524058189,0.004895561357702351,0.09504848936963822,0.03592875792614697,0.006909735173442747,0.0028067885117493475,0.35368332711674755
Bolshevism: The Enemy of Political and Industrial Democracy,61235,1919,0.07660675136860728,0.027747150604494928,0.009259734099155117,0.20371094501211554,0.433047218554084,0.0006185976743291581,0.0006570597058936653,0.24835254298132028
Russia in the Shadows,61557,1921,0.14863917196321416,0.13516404502361257,0.0029338138692610875,0.018113304690551436,0.016710755246245077,0.036577246742179464,0.2950546816745376,0.3468069807903988
